"Date","Seeley","Meloland","CalipatriaMulberry","xCalipatriaMulberry","xMeloland","xSeeley"
"2011-09-15",5.43,5.3,5.23,7.63072339443879,8.01141674504612,6.99169114908025
"2011-10-01",4.9,5.9,5.74,7.22788671534015,7.71434146186141,8.32134805390048
"2011-10-09",4.28,3.54,4.73,6.21092318293372,5.36807889993049,6.5759479799108
"2011-10-17",5.03,3.63,5.54,6.06239365360902,6.69154297957912,7.4771566864962
"2011-11-26",3.35,2.14,3.56,7.09758795656137,6.80179884394917,7.00068491294728
"2011-12-28",2.32,2.04,2.06,4.55855346151827,4.64369070610908,4.96599757426566
"2012-01-13",2.78,2.68,2.52,6.57183710045118,6.67292141446159,6.9784660179588
"2012-01-29",3.51,3.3,2.88,8.4085170826029,8.82493884287977,8.36876220679582
"2012-03-01",6.46,4.95,4.38,5.89319303089477,4.73785898025188,7.20030400561453
"2012-04-02",6.37,6.23,6.17,11.0365587044959,10.8232592101291,11.0437124843037
"2012-05-20",7.59,7.21,7.06,14.5901291864269,7.801134,8.20309335370633
"2012-06-21",9.5,8.84,9.4,14.52321825872,14.9643829339867,12.5186812078082
"2012-07-07",10.33,8.85,9.34,12.770352188879,12.5567502983257,13.6554840740189
"2012-08-08",7.18,7.44,7.98,11.9060456564633,13.0239343047434,10.2852453434204
"2012-08-24",6.58,6.56,7.12,10.1244992149984,10.6605860514668,9.30838149471981
"2012-09-25",9.64,7.96,6.5,12.8555101152647,11.1933041887683,15.1469354011153
"2012-10-11",6.39,6.1,5.58,8.00702746792392,7.75388799677904,8.45368106156482
"2012-10-27",4.04,3.95,4.23,11.5550930300418,11.9228640266339,11.36673823243
"2012-11-12",3.4,3.06,3.12,6.80140707364236,6.97028808599797,6.75929572894206
"2012-11-28",2.51,2.18,2.5,3.57561296298805,3.39037389700207,4.45973739719665
"2012-12-14",2.92,1.94,2.04,2.74780553676133,2.1726486084217,2.62421709899566
"2012-12-30",2.09,1.85,1.95,3.34785662127325,3.26650132605185,3.85116755469118
"2013-01-15",2.44,2.21,2.47,5.42482927104431,5.45107847839993,5.30420636010514
"2013-01-31",2.79,2.67,2.59,4.5911734216306,4.13780835399,5.03618505506516
"2013-03-04",4.52,4.5,4.33,8.87132013554418,8.01033604139961,10.5122119631035
"2013-04-05",8.18,7.48,6.44,11.0632581699976,10.3072909909435,13.2847682835875
"2013-04-21",7,7.16,7.24,9.17419856515886,10.1501981746275,10.1824962693703
"2013-04-29",8.81,7.77,7.7,11.3869967586679,9.16014857773237,14.1751428813258
"2013-05-15",10.68,9.89,5.82,13.8585176883744,12.7819500793598,15.2700035724904
"2013-05-31",6,6.76,7.54,11.0036778765481,11.2052680387059,9.88349092081724
"2013-06-16",8.39,7.77,8.19,11.4556388111712,9.14880745407507,12.4862545082468
"2013-08-11",7.6,7.16,7.13,10.7270066398894,10.7975808525762,9.5875007503095
"2013-08-27",5.51,5.56,5.61,7.58064956340191,7.80084107838958,6.98948561536307
"2013-09-28",5.2,5.33,5.17,11.3215459318554,10.7571453536553,10.8858175339412
"2013-10-06",5.28,5.15,5.39,10.704520044883,10.9177612304603,11.1108805392131
"2013-10-14",4.35,4.7,4.84,9.17095407341953,8.23631398324973,10.0160151189687
"2013-10-22",4.13,3.86,3.99,4.24864568924718,4.28150673130185,6.19593321055281
"2013-10-30",3.45,3.36,3.1,5.59953396293517,5.55948418934551,6.11572519556138
"2013-12-09",1.93,2.53,2.92,4.15366032475859,3.92734408180963,3.84569511880679
"2013-12-25",2.86,2.86,3.32,5.6892254389305,5.61574650471347,5.99161146902082
"2014-01-10",2.44,2.25,2.25,3.67529303804724,3.22919806325479,4.33016615120184
"2014-01-26",2.77,2.49,2.55,2.86641010498267,2.68731143820346,4.64955409470148
"2014-02-03",2.64,2.78,2.72,4.77940174795253,4.57293716560496,5.16140661112744
"2014-03-15",6.2,5.94,6.16,11.0959304753026,9.43294702970394,12.5502602780288
"2014-03-23",4.9,4.64,4.78,5.76638563503696,5.677784260253,7.2924474411657
"2014-03-31",7.12,7,5.95,10.480082359331,9.89962454984292,11.7522302444701
"2014-05-10",7.07,8.3,7.36,10.4395151485678,9.80349353629168,12.7878336681386
"2014-05-26",7.84,7.97,7.78,11.6442557363893,12.2092176605428,10.1699457262488
"2014-06-11",11.09,10.41,8.21,14.5326753108628,13.1399262796291,15.5541779337504
"2014-07-13",8.26,9.15,8.62,10.8036529022776,12.0732825928083,10.9513458181049
"2014-07-29",8.05,8.37,7.45,12.6599028166187,10.8443480073352,13.0903481100331
"2014-08-06",8.72,8.44,7.37,9.90898151737441,8.16774582725468,11.9665315447268
"2014-08-14",7.01,7.49,7.19,8.7360538288834,9.68303725918209,7.92109860643642
"2014-08-22",6.47,5.83,5.73,7.72139099659098,6.81500783575704,9.0770996626044
"2014-08-30",8.38,8.2,7.69,10.039506932559,9.59089474796006,12.6846051764085
"2014-09-15",6.02,6.48,6.21,10.775955106899,11.3764921125378,9.79417705105009
"2014-10-09",4.53,4.55,4.2,5.71480505234145,5.56010192156217,5.69099802207419
"2014-11-02",4.22,3.62,3.51,7.531209555202,6.88459107901058,8.95384425456994
"2014-11-18",2.94,2.52,2.75,6.85143086956179,7.0898109848977,7.3643170146643
"2014-11-26",2.91,2.55,2.66,5.08629501440435,4.77267316288594,6.1887298542131
"2015-01-05",2.43,2.32,2.32,4.61683290013629,4.81921134118433,4.43587734446727
"2015-01-21",3.85,3.7,4.19,6.70740195914401,6.31301598290355,7.25037448917036
"2015-02-26",4.29,3.75,3.9,3.97063016246736,4.3170274464288,4.01067485681082
"2015-03-10",5.31,4.7,4.06,4.85027835648764,5.64773305161849,6.60311272770804
"2015-04-03",6.42,6.16,5.09,11.4115782867966,10.8208076619941,11.5847262388908
"2015-04-11",6.31,5.51,5,7.64235732137071,6.46757279471111,8.15127710049691
"2015-05-05",7.31,6.02,6.56,10.5235738450881,9.43737598560459,11.8145516334332
"2015-06-06",7.59,7.28,7.12,11.1853995813415,10.073114345643,12.8027155490288
"2015-06-22",8.71,8.47,8.39,13.940777098916,14.5519059035036,13.0690497594994
"2015-08-17",8.66,8.17,5.9,13.1229262421759,14.131772581923,12.9283569984275
"2015-10-20",4.97,4.8,3.93,8.04486849106947,8.24120860397816,9.09320494809547
"2015-11-21",3.82,3.28,3.74,7.84468237485337,8.08043912689298,8.56145890041888
"2015-12-23",4.24,3.77,2.78,2.94557113763471,2.57184519444322,4.32393038120338
