"Date","xCalipatriaMulberry","xMeloland","xSeeley","CalipatriaMulberry","Meloland","Seeley","CF.CM","CF.Mel","CF.Seel","CF.daily"
2011-02-03,4.89792728424072,4.69202518463135,4.91149044036865,2.57,2.63,2.65,0.52471175067647,0.560525550590505,0.539551085800565,0.542618650633487
2011-02-11,7.53447437286377,7.76448917388916,7.61820363998413,3.33,3.59,3.05,0.441968455290439,0.462361389088241,0.400356848429737,0.45216492218934
2011-02-27,4.72395610809326,4.29370021820068,4.77627277374268,3.18,3.56,3.6,0.673164594935991,0.829121694362689,0.753725796355439,0.75114314464934
2011-03-07,9.65275382995605,8.65194129943848,10.6168355941772,5.18,5.66,5.67,0.536634424875164,0.654188442120769,0.534057436389962,0.595411433497966
2011-03-15,9.29611682891846,8.52035236358643,10.7466058731079,4.19,4.84,5.68,0.450725832851595,0.568051624330091,0.528538970077382,0.509388728590843
2011-03-31,13.2616491317749,13.6185216903687,13.3556261062622,6.01,6.65,6.23,0.4531864732871,0.488305570251655,0.466470081629409,0.470746021769378
2011-04-16,11.6611547470093,11.7420930862427,12.1691741943359,6.17,6.64,6.43,0.529107119651458,0.565486915427334,0.528384251660462,0.547297017539396
2011-05-10,11.0035839080811,10.4227275848389,11.5914630889893,6.67,7.18,7.24,0.606166141478827,0.688879176929098,0.624597597768075,0.647522659203962
2011-05-26,13.5351552963257,11.3078689575195,15.0453424453735,8.69,10.79,11.88,0.642031791268699,0.954202780429715,0.789613133973771,0.798117285849207
2011-06-11,11.81019115448,10.7989273071289,12.1729412078857,7.88,8.35,8.76,0.667220360528277,0.773224947489715,0.719628876078461,0.720222654008996
2011-06-27,16.0931968688965,13.3021287918091,17.5705890655518,8.02,8.39,9.94,0.498347224938281,0.630726113940968,0.565718085086173,0.564536669439624
2011-07-13,12.0900716781616,9.93150329589844,12.2868089675903,7.97,8.91,9.73,0.659218589613184,0.897145148577829,0.791906183750835,0.778181869095506
2011-07-21,13.1716060638428,12.2249937057495,13.5682363510132,8.18,9.06,9.72,0.621032845983363,0.741104676048955,0.716379030298523,0.681068761016159
2011-08-06,13.4957313537598,11.5809946060181,14.4547739028931,7.59,7.72,8.12,0.562400050878718,0.666609411594778,0.561752128020129,0.614504731236748
2011-08-14,12.5292387008667,13.2577981948853,11.2709760665894,7.78,7.78,6.8,0.620947544040471,0.586824439898433,0.603319531496238,0.603885991969452
2011-08-22,9.71317386627197,9.43074131011963,11.6137218475342,6.82,7.45,6.92,0.702139186829731,0.789969712349739,0.595846886196026,0.746054449589735
2011-08-30,13.2709836959839,13.3211002349854,12.4489221572876,7.75,8.52,9.54,0.583980824446746,0.639586809625817,0.766331404395141,0.611783817036282
2011-09-07,10.4708681106567,9.33641338348389,12.5404605865479,6.99,7.19,6.63,0.667566425833014,0.770103004727609,0.528688715557385,0.718834715280311
2011-09-15,7.63072347640991,8.0114164352417,6.99169111251831,5.23,5.3,5.43,0.685387174121608,0.661555923704783,0.776636140329173,0.673471548913195
2011-10-01,7.22788667678833,7.71434116363525,8.32134819030762,5.74,5.9,4.9,0.794146374545891,0.764809317458255,0.588846889703201,0.779477846002073
2011-10-09,6.21092319488525,5.36807870864868,6.57594776153564,4.73,3.54,4.28,0.761561502466363,0.659453818047897,0.6508567517879,0.710507660257131
2011-10-27,6.06239366531372,6.6915431022644,7.47715711593628,4.42,2.84,4.33,0.729084952910472,0.424416305267308,0.57909709972141,0.57675062908889
2011-11-26,7.09758758544922,6.80179882049561,7.00068473815918,3.56,2.14,3.35,0.501578875517981,0.314622654458938,0.478524619418997,0.408100764988459
2011-12-28,4.55855321884155,4.64369058609009,4.96599769592285,2.06,2.04,2.32,0.451897762536926,0.439305755235007,0.467177019011658,0.445601758885967
2012-01-13,6.57183694839478,6.6729211807251,6.97846603393555,2.52,2.68,2.78,0.383454431354316,0.401623206301499,0.398368350075955,0.392538818827908
2012-01-29,8.4085168838501,8.82493877410889,8.36876201629639,2.88,3.3,3.51,0.342509867052952,0.373940271368424,0.419416873507099,0.358225069210688
2012-03-01,5.89319324493408,4.73785877227783,7.20030403137207,4.38,4.95,6.46,0.743230336755908,1.04477576008881,0.897184337196522,0.894003048422358
2012-04-02,11.0365591049194,10.8232593536377,11.0437126159668,6.17,6.23,6.37,0.55905105398745,0.575612188199676,0.576798783299592,0.567331621093563
2012-05-04,3.34385585784912,3.92437386512756,6.03079986572266,7.13,7.68,8.87,2.13226894432772,1.95700008815301,1.47078334507742,2.04463451624036
2012-05-20,14.5901288986206,59.816837310791,8.20309352874756,7.06,7.21,7.59,0.483888802426377,0.12053462409821,0.925260692615659,0.302211713262294
2012-06-05,23.2953224182129,10.3895797729492,16.1673526763916,8.82,9.93,11.37,0.378616781586345,0.9557653165005,0.70326912683751,0.667191049043422
2012-06-21,14.5232181549072,14.9643831253052,12.5186815261841,9.4,8.84,9.5,0.647239468534999,0.590736011366304,0.758865858207975,0.618987739950651
2012-07-07,12.7703514099121,12.5567502975464,13.6554841995239,9.34,8.85,10.33,0.731381596339664,0.704800190358911,0.756472626606689,0.718090893349287
2012-08-08,11.9060459136963,13.0239343643188,10.2852449417114,7.98,7.44,7.18,0.670247709260057,0.57125595015152,0.698087409749648,0.620751829705789
2012-08-24,10.1244993209839,10.6605863571167,9.30838108062744,7.12,6.56,6.58,0.703244651836086,0.615350767795313,0.706889838630937,0.659297709815699
2012-09-25,12.8554906845093,11.1933040618896,15.1469354629517,6.5,7.96,9.64,0.505620528964517,0.711139441579343,0.636432367694361,0.60837998527193
2012-10-11,8.00723171234131,7.75388813018799,8.45368099212646,5.58,6.1,6.39,0.696870054528297,0.786702090303708,0.755883739397249,0.741786072416003
2012-10-27,11.5550928115845,11.9228639602661,11.366738319397,4.23,3.95,4.04,0.36607235173042,0.331296239994324,0.35542297944045,0.348684295862372
2012-11-12,6.80140686035156,6.97028827667236,6.75929594039917,3.12,3.06,3.4,0.458728622483662,0.439006233105305,0.503010968890824,0.448867427794483
2012-11-28,3.57530736923218,3.39033341407776,4.4597373008728,2.5,2.18,2.51,0.699240580408306,0.643004605667377,0.562813419415707,0.671122593037841
2012-12-14,2.74780559539795,2.17264866828918,2.62421703338623,2.04,1.94,2.92,0.742410599722415,0.892919333123298,1.11271284457448,0.817664966422857
2012-12-30,3.34785652160645,3.26650142669678,3.85116744041443,1.95,1.85,2.09,0.582462237379368,0.566355178932463,0.542692581492923,0.574408708155916
2013-01-15,5.42482948303223,5.45107746124268,5.30420637130737,2.47,2.21,2.44,0.455313850458464,0.405424435024666,0.460012267471145,0.430369142741565
2013-01-31,4.59117364883423,4.13780832290649,5.0361852645874,2.59,2.67,2.79,0.564125907251982,0.645269135648248,0.55399073970099,0.604697521450115
2013-03-04,8.87131977081299,8.00854206085205,10.5122117996216,4.33,4.5,4.52,0.488089721920055,0.561900026972104,0.429976115983766,0.52499487444608
2013-04-05,11.06325340271,10.3072910308838,13.2847681045532,6.44,7.48,8.18,0.582107248707013,0.725699893171507,0.615742776661369,0.65390357093926
2013-04-21,11.3869962692261,9.16014862060547,14.1751432418823,7.24,7.16,7,0.635812977261305,0.781646706462142,0.49382217029861,0.708729841861724
2013-04-29,11.3869962692261,9.16014862060547,14.1751432418823,7.7,7.77,8.81,0.676209934380117,0.848239512459615,0.621510474332965,0.762224723419866
2013-05-15,13.8585166931152,12.7819499969482,15.2700023651123,5.82,9.89,10.68,0.419958364151,0.773747354852843,0.699410500708292,0.596852859501921
2013-05-23,12.2453708648682,12.47171,12.6980390548706,8.45,9.7,10.04,0.690056682908883,0.777760226945623,0.790673265109304,0.733908454927253
2013-05-31,11.0036783218384,11.205267906189,9.88349151611328,7.54,6.76,6,0.685225410946064,0.603287672958384,0.607072914487564,0.644256541952224
2013-06-08,11.455,10.20533,13.6325902938843,10.07,9.46,7.2,0.87909209951986,0.926966594906779,0.52814614426064,0.90302934721332
2013-06-16,11.455638885498,9.14880752563477,12.4862546920776,8.19,7.77,8.39,0.714931753860355,0.849291011777068,0.671938880545448,0.782111382818711
2013-08-11,10.7270069122314,10.7975807189941,6.03464794158936,7.13,7.16,7.6,0.66467748723738,0.66311150491376,1.25939409781018,0.66389449607557
2013-08-27,7.58064937591553,7.80084085464478,6.98948621749878,5.61,5.56,5.51,0.740042141748901,0.712743677713854,0.788326899651829,0.726392909731378
2013-09-12,6.38298749923706,7.186445,7.72501707077026,5.63,5.68,5.77,0.882032120644594,0.790376883145978,0.746923915784263,0.836204501895286
2013-09-28,13.4190340042114,10.7571449279785,10.9195833206177,5.17,5.33,5.2,0.385273634329971,0.495484632370907,0.476208647099353,0.440379133350439
2013-10-06,10.7045192718506,10.9177618026733,11.1108808517456,5.39,5.15,5.28,0.503525647730296,0.471708404440456,0.475209847936626,0.487617026085376
2013-10-14,9.17095375061035,14.5654392242432,10.0160150527954,4.84,4.7,4.35,0.527753179398368,0.322681652618973,0.434304459115798,0.425217416008671
2013-10-22,4.2486457824707,4.28150653839111,6.19593286514282,3.99,3.86,4.13,0.939122770945547,0.901551817190613,0.666566292742554,0.92033729406808
2013-10-30,5.59952878952026,5.55948638916016,6.11572504043579,3.1,3.36,3.45,0.553618012608806,0.604372376295642,0.564119540559685,0.578995194452224
2013-11-15,5.72775316238403,7.186445,6.55210828781128,3.73,3.81,3.59,0.651215213758877,0.530164775490524,0.547915242285966,0.5906899946247
2013-12-09,4.1536602973938,3.92734432220459,3.84569501876831,2.92,2.53,1.93,0.702994417196838,0.644201219051708,0.501859869433467,0.673597818124273
2013-12-25,5.68922519683838,5.61574649810791,5.99161195755005,3.32,2.86,2.86,0.583559251942601,0.509282247865641,0.477333982951968,0.546420749904121
2014-01-02,4.80667734146118,3.68635416030884,5.52901554107666,2.3,2.2,2.4,0.478501017773917,0.596795615485759,0.43407365780937,0.537648316629838
2014-01-10,3.67529296875,3.22919797897339,4.33016633987427,2.25,2.25,2.44,0.612196094061379,0.696767437193587,0.563488745808977,0.654481765627483
2014-01-18,7.44533443450928,6.87457418441772,8.58759689331055,2.45,2.55,2.91,0.329065137577192,0.370932065258669,0.338860805432867,0.349998601417931
2014-01-26,2.86641001701355,2.68731141090393,4.64955425262451,2.55,2.49,2.77,0.889614529974602,0.926576648280014,0.595756033696441,0.908095589127308
2014-02-03,4.7794017791748,4.57293701171875,5.16140651702881,2.72,2.78,2.64,0.569108881335694,0.60792440238645,0.511488485026312,0.588516641861072
2014-03-15,11.0959300994873,9.43294715881348,12.5502605438232,6.16,5.94,6.2,0.555158508098805,0.62970775728878,0.494013648429905,0.592433132693792
2014-03-23,5.76638555526733,5.67778444290161,7.29244756698608,4.78,4.64,4.9,0.828942143078464,0.817220175697397,0.671928039933119,0.82308115938793
2014-03-31,10.4800825119019,9.89962482452393,11.7522306442261,5.95,7,7.12,0.567743621602482,0.707097503600257,0.605842432432016,0.63742056260137
2014-04-16,8.55472660064697,7.69936561584473,9.95939064025879,7.05,6.65,6.98,0.824105822325967,0.863707522385324,0.700846091103685,0.843906672355645
2014-04-24,6.21092319488525,6.12518167495728,7.46134281158447,6.27,6.34,5.27,1.00951175908332,1.03507133934019,0.706307179964685,1.02229154921175
2014-05-10,10.4395151138306,9.80349349975586,12.7878332138062,7.36,8.3,7.07,0.705013587292887,0.846636966730962,0.552869268920946,0.775825277011924
2014-05-26,11.6442556381226,12.2092180252075,10.1699457168579,7.78,7.97,7.84,0.668140604413456,0.652785459604776,0.770898903324946,0.660463032009116
2014-06-11,14.532675743103,13.1399259567261,15.554178237915,8.21,10.41,11.09,0.564933818460536,0.792241907167774,0.712991701031617,0.678587862814155
2014-07-13,10.8036527633667,12.0732831954956,10.9513454437256,8.62,9.15,8.26,0.79787829068599,0.757871728165356,0.754245224246163,0.777875009425673
2014-07-29,12.6599025726318,10.8443479537964,13.0903482437134,7.45,8.37,8.05,0.588472143230028,0.771830638011742,0.614956901843005,0.680151390620885
2014-08-06,9.90898132324219,8.16774559020996,11.96653175354,7.37,8.44,8.72,0.743769693329946,1.03333287095969,0.728699023208657,0.888551282144817
2014-08-14,8.73605346679688,9.68303680419922,7.92109870910645,7.19,7.49,7.01,0.823026098378065,0.773517663048831,0.884978240700497,0.798271880713448
2014-08-22,7.72139120101929,6.81500768661499,9.07709980010986,5.73,5.83,6.47,0.742094248410001,0.855464919203306,0.712782732643492,0.798779583806653
2014-08-30,10.0395069122314,9.59089374542236,12.6846055984497,7.69,8.2,8.38,0.765973873739858,0.854977671284678,0.6606433235121,0.810475772512268
2014-09-15,10.7759552001953,11.3764925003052,9.79417705535889,6.21,6.48,6.02,0.576283019428983,0.56959559370572,0.614650926358959,0.572939306567351
2014-10-01,7.34853935241699,7.58230876922607,8.18814277648926,5.09,4.85,5.38,0.692654656374108,0.639646860555777,0.65704765376682,0.666150758464943
2014-10-09,5.71480512619019,5.5601019859314,5.69099807739258,4.2,4.55,4.53,0.734933196716011,0.818330313277124,0.795993943135453,0.776631754996568
2014-11-02,7.53122138977051,6.88459348678589,8.95384407043457,3.51,3.62,4.22,0.466059861786503,0.525811728310195,0.471305951589481,0.495935795048349
2014-11-18,6.85143089294434,7.08981084823608,7.36431694030762,2.75,2.52,2.94,0.401376010788049,0.355439666014075,0.399222361534754,0.378407838401062
2014-11-26,5.08629512786865,4.7726731300354,6.18872976303101,2.66,2.55,2.91,0.522973978726759,0.534291775389421,0.470209576346858,0.52863287705809
2015-01-05,4.6168327331543,4.81922149658203,4.43587732315063,2.32,2.32,2.43,0.502509000020656,0.481405555159776,0.547805952008173,0.491957277590216
2015-01-21,6.70740175247192,6.31301593780518,7.25037431716919,4.19,3.7,3.85,0.624683022521475,0.586090711072459,0.531007066887987,0.605386866796967
2015-02-26,3.97063016891479,4.31702756881714,4.01067495346069,3.9,3.75,4.29,0.98221184902393,0.868653243515768,1.06964539629378,0.925432546269849
2015-03-10,4.85027837753296,5.64773321151733,6.60311269760132,4.06,4.7,5.31,0.83706535666208,0.832192283873354,0.804166193003027,0.834628820267717
2015-04-03,11.4115781784058,10.8208074569702,11.5847263336182,5.09,6.16,6.42,0.446038218415035,0.569273598527256,0.554177959419685,0.507655908471146
2015-04-11,7.64235734939575,6.4675726890564,8.15127754211426,5,5.51,6.31,0.654248391093009,0.851942492942263,0.774111783999362,0.753095442017636
2015-04-19,12.054500579834,18.0862998962402,17.507137298584,5.99,6.64,7.31,0.496909843782387,0.367128712787756,0.417543992220319,0.432019278285071
2015-04-27,11.796947479248,11.4159603118896,12.4759283065796,7.69,7.54,7.36,0.651863544660807,0.660478820353566,0.589936060799457,0.656171182507186
2015-05-05,10.5235738754272,9.43737602233887,11.8145513534546,6.56,6.02,7.31,0.623362374574832,0.637889174464415,0.618728530716704,0.630625774519623
2015-06-06,11.1854000091553,10.0731143951416,12.8027153015137,7.12,7.28,7.59,0.636544065851223,0.722715906364693,0.592842988479376,0.679629986107958
2015-06-14,13.2013473510742,21.4119243621826,11.4930992126465,8.35,8.4,8.01,0.632511195860667,0.392304767096784,0.696939950817283,0.512407981478725
2015-06-22,13.9407768249512,14.551905632019,13.0690498352051,8.39,8.47,8.71,0.601831598436007,0.582054351793155,0.666460080099872,0.591942975114581
2015-07-16,10.1674385070801,9.77367496490479,11.2777137756348,7.62,7.51,8.11,0.749451299331078,0.768390603019523,0.719117381531837,0.7589209511753
2015-08-17,13.1229267120361,14.1317729949951,12.9283571243286,5.9,8.17,8.66,0.449594829679923,0.57812986402297,0.669845357512873,0.513862346851446
2015-09-18,7.02780294418335,5.96006059646606,8.38383293151855,5.6,5.99,5.79,0.796835091205127,1.00502333878144,0.690614906963713,0.900929214993281
2015-10-20,8.04486846923828,8.24120903015137,9.09320449829102,3.93,4.8,4.97,0.48851016210239,0.582438812368267,0.546561995931584,0.535474487235329
2015-11-21,7.84468221664429,8.08043956756592,8.56145858764648,3.74,3.28,3.82,0.476756087335792,0.405918511310399,0.44618565410244,0.441337299323096
2015-12-23,2.94557118415833,2.57184553146362,4.32393026351929,2.78,3.77,4.24,0.943789786833607,1.46587341808764,0.980589357736085,1.20483160246062
2016-01-08,2.56080555915833,2.57502412796021,3.91985940933228,1.96,2.12,2.37,0.765384155384372,0.823293256548765,0.604613521178229,0.794338705966569
